gene;sample;mutated;label;year
umuC/D;89;2;features;2016
Plasmid-segregation;89;2;features;2016
Toxin-antitoxin;89;2;features;2016
psiA/B;89;0;features;2016
Transposon;89;2;features;2016
Mercuric Res.;89;2;features;2016
Copper Res.;89;0;features;2016
Arsenic Res.;89;0;features;2016
IncA/C;89;0;inc-group;2016
IncA/C2;89;0;inc-group;2016
IncFIA;89;0;inc-group;2016
IncFIB;89;0;inc-group;2016
IncFIC;89;0;inc-group;2016
IncFII;89;0;inc-group;2016
IncHI1A;89;0;inc-group;2016
IncHI1B;89;0;inc-group;2016
IncHI2;89;0;inc-group;2016
IncL/M;89;0;inc-group;2016
IncN;89;0;inc-group;2016
IncN2;89;0;inc-group;2016
IncN3;89;0;inc-group;2016
IncP;89;0;inc-group;2016
IncQ1;89;0;inc-group;2016
IncU;89;0;inc-group;2016
IncX3;89;0;inc-group;2016
IncY;89;0;inc-group;2016
Acinetobacter;89;0;organism;2016
Aeromonas;89;0;organism;2016
Citrobacter;89;0;organism;2016
Enterobacter;89;0;organism;2016
Escherichia;89;0;organism;2016
Klebsiella;89;4;organism;2016
Leclercia;89;0;organism;2016
Morganella;89;0;organism;2016
Pantoea;89;0;organism;2016
Proteus;89;0;organism;2016
Pseudomonas;89;0;organism;2016
Raoultella;89;0;organism;2016
Salmonella;89;0;organism;2016
Serratia;89;0;organism;2016
CMY;119;0;β-lactamases;2016
CTX-M;119;0;β-lactamases;2016
DHA;119;0;β-lactamases;2016
FOX;119;0;β-lactamases;2016
GES;119;0;β-lactamases;2016
IMP;119;0;β-lactamases;2016
LAP;119;0;β-lactamases;2016
OXA;119;0;β-lactamases;2016
PSE;119;0;β-lactamases;2016
SHV;119;0;β-lactamases;2016
TEM;119;0;β-lactamases;2016
VEB;119;0;β-lactamases;2016
umuC/D;119;2;features;2016
Plasmid-segregation;119;2;features;2016
Toxin-antitoxin;119;2;features;2016
psiA/B;119;0;features;2016
Transposon;119;0;features;2016
Mercuric Res.;119;0;features;2016
Copper Res.;119;0;features;2016
Arsenic Res.;119;0;features;2016
IncA/C;119;0;inc-group;2016
IncA/C2;119;0;inc-group;2016
IncFIA;119;0;inc-group;2016
IncFIB;119;0;inc-group;2016
IncFIC;119;0;inc-group;2016
IncFII;119;0;inc-group;2016
IncHI1A;119;0;inc-group;2016
IncHI1B;119;0;inc-group;2016
IncHI2;119;0;inc-group;2016
IncL/M;119;3;inc-group;2016
IncN;119;0;inc-group;2016
IncN2;119;0;inc-group;2016
IncN3;119;0;inc-group;2016
IncP;119;0;inc-group;2016
IncQ1;119;0;inc-group;2016
IncU;119;0;inc-group;2016
IncX3;119;0;inc-group;2016
IncY;119;0;inc-group;2016
Acinetobacter;119;0;organism;2016
Aeromonas;119;0;organism;2016
Citrobacter;119;0;organism;2016
Enterobacter;119;4;organism;2016
Escherichia;119;0;organism;2016
Klebsiella;119;0;organism;2016
Leclercia;119;0;organism;2016
Morganella;119;0;organism;2016
Pantoea;119;0;organism;2016
Proteus;119;0;organism;2016
Pseudomonas;119;0;organism;2016
Raoultella;119;0;organism;2016
Salmonella;119;0;organism;2016
Serratia;119;0;organism;2016
CMY;100;0;β-lactamases;2005
CTX-M;100;0;β-lactamases;2005
DHA;100;0;β-lactamases;2005
FOX;100;0;β-lactamases;2005
GES;100;0;β-lactamases;2005
IMP;100;0;β-lactamases;2005
LAP;100;0;β-lactamases;2005
OXA;100;0;β-lactamases;2005
PSE;100;0;β-lactamases;2005
SHV;100;0;β-lactamases;2005
TEM;100;1;β-lactamases;2005
VEB;100;0;β-lactamases;2005
umuC/D;100;2;features;2005
Plasmid-segregation;100;0;features;2005
Toxin-antitoxin;100;0;features;2005
psiA/B;100;0;features;2005
Transposon;100;2;features;2005
Mercuric Res.;100;0;features;2005
Copper Res.;100;0;features;2005
Arsenic Res.;100;0;features;2005
IncA/C;100;0;inc-group;2005
IncA/C2;100;0;inc-group;2005
IncFIA;100;0;inc-group;2005
IncFIB;100;0;inc-group;2005
IncFIC;100;0;inc-group;2005
IncFII;100;0;inc-group;2005
IncHI1A;100;0;inc-group;2005
IncHI1B;100;0;inc-group;2005
IncHI2;100;0;inc-group;2005
IncL/M;100;0;inc-group;2005
IncN;100;3;inc-group;2005
IncN2;100;0;inc-group;2005
IncN3;100;0;inc-group;2005
IncP;100;0;inc-group;2005
IncQ1;100;0;inc-group;2005
IncU;100;0;inc-group;2005
IncX3;100;0;inc-group;2005
IncY;100;0;inc-group;2005
Acinetobacter;100;0;organism;2005
Aeromonas;100;0;organism;2005
Citrobacter;100;0;organism;2005
Enterobacter;100;4;organism;2005
Escherichia;100;0;organism;2005
