gene;sample;mutated;label
Morganella;12;0;organism
Pantoea;12;0;organism
Proteus;12;0;organism
Pseudomonas;12;0;organism
Raoultella;12;0;organism
Salmonella;12;0;organism
Serratia;12;0;organism
blaCMY;30;0;beta-lactamase
blaCTX-M;30;0;beta-lactamase
blaDHA;30;0;beta-lactamase
blaFOX;30;0;beta-lactamase
blaGES;30;0;beta-lactamase
blaIMP;30;0;beta-lactamase
blaLAP;30;0;beta-lactamase
blaOXA;30;1;beta-lactamase
blaPSE;30;0;beta-lactamase
blaSHV;30;1;beta-lactamase
blaTEM;30;1;beta-lactamase
blaVEB;30;0;beta-lactamase
parA/B/M;30;0;plasmid-stability
stbA/B/C;30;0;plasmid-stability
vagC/D;30;0;plasmid-stability
psiA/B;30;0;plasmid-stability
IncA/C;30;0;inc-group
IncA/C2;30;3;inc-group
IncFIA;30;0;inc-group
IncFIB;30;0;inc-group
IncFIC;30;0;inc-group
IncFII;30;0;inc-group
IncHI1A;30;0;inc-group
IncHI1B;30;0;inc-group
IncHI2;30;0;inc-group
IncI1;30;0;inc-group
IncI2;30;0;inc-group
IncL/M;30;0;inc-group
IncN;30;0;inc-group
IncN2;30;0;inc-group
IncN3;30;0;inc-group
IncP;30;0;inc-group
IncQ1;30;0;inc-group
IncQ2;30;0;inc-group
IncR;30;0;inc-group
IncU;30;0;inc-group
IncX3;30;0;inc-group
IncY;30;0;inc-group
Acinetobacter;30;0;organism
Aeromonas;30;0;organism
Citrobacter;30;0;organism
Enterobacter;30;0;organism
Escherichia;30;0;organism
Klebsiella;30;4;organism
Leclercia;30;0;organism
Morganella;30;0;organism
Pantoea;30;0;organism
Proteus;30;0;organism
Pseudomonas;30;0;organism
Raoultella;30;0;organism
Salmonella;30;0;organism
Serratia;30;0;organism
blaCMY;5;0;beta-lactamase
blaCTX-M;5;0;beta-lactamase
blaDHA;5;0;beta-lactamase
blaFOX;5;0;beta-lactamase
blaGES;5;0;beta-lactamase
blaIMP;5;0;beta-lactamase
blaLAP;5;0;beta-lactamase
blaOXA;5;0;beta-lactamase
blaPSE;5;0;beta-lactamase
blaSHV;5;0;beta-lactamase
blaTEM;5;1;beta-lactamase
blaVEB;5;0;beta-lactamase
parA/B/M;5;0;plasmid-stability
stbA/B/C;5;0;plasmid-stability
vagC/D;5;0;plasmid-stability
psiA/B;5;0;plasmid-stability
IncA/C;5;0;inc-group
IncA/C2;5;0;inc-group
IncFIA;5;0;inc-group
IncFIB;5;0;inc-group
IncFIC;5;0;inc-group
IncFII;5;0;inc-group
IncHI1A;5;3;inc-group
IncHI1B;5;3;inc-group
IncHI2;5;0;inc-group
IncI1;5;0;inc-group
IncI2;5;0;inc-group
IncL/M;5;0;inc-group
IncN;5;0;inc-group
IncN2;5;0;inc-group
IncN3;5;0;inc-group
IncP;5;0;inc-group
IncQ1;5;0;inc-group
IncQ2;5;0;inc-group
IncR;5;0;inc-group
IncU;5;0;inc-group
IncX3;5;0;inc-group
IncY;5;0;inc-group
Acinetobacter;5;0;organism
Aeromonas;5;0;organism
Citrobacter;5;0;organism
Enterobacter;5;0;organism
Escherichia;5;0;organism
Klebsiella;5;4;organism
Leclercia;5;0;organism
Morganella;5;0;organism
Pantoea;5;0;organism
Proteus;5;0;organism
Pseudomonas;5;0;organism
Raoultella;5;0;organism
Salmonella;5;0;organism
Serratia;5;0;organism
blaCMY;117;0;beta-lactamase
blaCTX-M;117;0;beta-lactamase
blaDHA;117;0;beta-lactamase
blaFOX;117;0;beta-lactamase
blaGES;117;0;beta-lactamase
blaIMP;117;0;beta-lactamase
blaLAP;117;0;beta-lactamase
blaOXA;117;1;beta-lactamase
blaPSE;117;0;beta-lactamase
blaSHV;117;0;beta-lactamase
blaTEM;117;1;beta-lactamase
blaVEB;117;0;beta-lactamase
parA/B/M;117;0;plasmid-stability
stbA/B/C;117;0;plasmid-stability
vagC/D;117;0;plasmid-stability
psiA/B;117;0;plasmid-stability
IncA/C;117;0;inc-group
IncA/C2;117;0;inc-group
IncFIA;117;0;inc-group
IncFIB;117;0;inc-group
IncFIC;117;0;inc-group
IncFII;117;0;inc-group
IncHI1A;117;0;inc-group
IncHI1B;117;0;inc-group
IncHI2;117;0;inc-group
IncI1;117;0;inc-group
IncI2;117;0;inc-group
IncL/M;117;0;inc-group
IncN;117;0;inc-group
IncN2;117;0;inc-group
IncN3;117;0;inc-group
IncP;117;0;inc-group
IncQ1;117;0;inc-group
IncQ2;117;0;inc-group
IncR;117;0;inc-group
IncU;117;3;inc-group
IncX3;117;0;inc-group
IncY;117;0;inc-group
Acinetobacter;117;0;organism
Aeromonas;117;0;organism
Citrobacter;117;0;organism
Enterobacter;117;0;organism
Escherichia;117;0;organism
Klebsiella;117;4;organism
Leclercia;117;0;organism
Morganella;117;0;organism
Pantoea;117;0;organism
Proteus;117;0;organism
Pseudomonas;117;0;organism
Raoultella;117;0;organism
Salmonella;117;0;organism
Serratia;117;4;organism
blaCMY;90;0;beta-lactamase
blaCTX-M;90;0;beta-lactamase
blaDHA;90;0;beta-lactamase
blaFOX;90;0;beta-lactamase
blaGES;90;0;beta-lactamase
blaIMP;90;0;beta-lactamase
blaLAP;90;0;beta-lactamase
blaOXA;90;0;beta-lactamase
blaPSE;90;0;beta-lactamase
blaSHV;90;1;beta-lactamase
blaTEM;90;0;beta-lactamase
blaVEB;90;0;beta-lactamase
parA/B/M;90;0;plasmid-stability
stbA/B/C;90;0;plasmid-stability
vagC/D;90;0;plasmid-stability
psiA/B;90;0;plasmid-stability
IncA/C;90;0;inc-group
IncA/C2;90;0;inc-group
IncFIA;90;0;inc-group
IncFIB;90;0;inc-group
IncFIC;90;0;inc-group
IncFII;90;0;inc-group
IncHI1A;90;0;inc-group
IncHI1B;90;0;inc-group
IncHI2;90;0;inc-group
IncI1;90;0;inc-group
IncI2;90;0;inc-group
IncL/M;90;0;inc-group
IncN;90;0;inc-group
IncN2;90;3;inc-group
IncN3;90;3;inc-group
IncP;90;0;inc-group
IncQ1;90;0;inc-group
IncQ2;90;0;inc-group
IncR;90;0;inc-group
IncU;90;0;inc-group
IncX3;90;0;inc-group
IncY;90;0;inc-group
Acinetobacter;90;0;organism
Aeromonas;90;0;organism
Citrobacter;90;0;organism
Enterobacter;90;0;organism
Escherichia;90;0;organism
Klebsiella;90;4;organism
Leclercia;90;0;organism
Morganella;90;0;organism
Pantoea;90;0;organism
Proteus;90;0;organism
Pseudomonas;90;0;organism
Raoultella;90;0;organism
Salmonella;90;0;organism
Serratia;90;0;organism
blaCMY;64;0;beta-lactamase
blaCTX-M;64;0;beta-lactamase
blaDHA;64;0;beta-lactamase
blaFOX;64;0;beta-lactamase
blaGES;64;0;beta-lactamase
blaIMP;64;0;beta-lactamase
blaLAP;64;0;beta-lactamase
blaOXA;64;0;beta-lactamase
blaPSE;64;0;beta-lactamase
blaSHV;64;1;beta-lactamase
blaTEM;64;1;beta-lactamase
blaVEB;64;0;beta-lactamase
parA/B/M;64;0;plasmid-stability
stbA/B/C;64;0;plasmid-stability
vagC/D;64;0;plasmid-stability
psiA/B;64;0;plasmid-stability
IncA/C;64;0;inc-group
IncA/C2;64;0;inc-group
IncFIA;64;0;inc-group
IncFIB;64;0;inc-group
IncFIC;64;0;inc-group
IncFII;64;0;inc-group
IncHI1A;64;0;inc-group
IncHI1B;64;0;inc-group
IncHI2;64;0;inc-group
IncI1;64;0;inc-group
IncI2;64;0;inc-group
IncL/M;64;3;inc-group
IncN;64;0;inc-group
IncN2;64;0;inc-group
IncN3;64;0;inc-group
IncP;64;0;inc-group
IncQ1;64;0;inc-group
IncQ2;64;0;inc-group
IncR;64;0;inc-group
IncU;64;0;inc-group
IncX3;64;0;inc-group
IncY;64;0;inc-group
Acinetobacter;64;0;organism
Aeromonas;64;0;organism
Citrobacter;64;4;organism
Enterobacter;64;4;organism
Escherichia;64;0;organism
Klebsiella;64;4;organism
Leclercia;64;0;organism
Morganella;64;0;organism
Pantoea;64;0;organism
Proteus;64;0;organism
Pseudomonas;64;0;organism
Raoultella;64;0;organism
Salmonella;64;0;organism
Serratia;64;0;organism
blaCMY;63;0;beta-lactamase
blaCTX-M;63;0;beta-lactamase
blaDHA;63;0;beta-lactamase
blaFOX;63;0;beta-lactamase
blaGES;63;0;beta-lactamase
blaIMP;63;0;beta-lactamase
blaLAP;63;0;beta-lactamase
blaOXA;63;0;beta-lactamase
blaPSE;63;0;beta-lactamase
blaSHV;63;0;beta-lactamase
blaTEM;63;0;beta-lactamase
blaVEB;63;0;beta-lactamase
parA/B/M;63;0;plasmid-stability
stbA/B/C;63;0;plasmid-stability
vagC/D;63;0;plasmid-stability
psiA/B;63;2;plasmid-stability
IncA/C;63;0;inc-group
IncA/C2;63;0;inc-group
IncFIA;63;0;inc-group
IncFIB;63;3;inc-group
IncFIC;63;0;inc-group
IncFII;63;0;inc-group
IncHI1A;63;0;inc-group
IncHI1B;63;0;inc-group
IncHI2;63;0;inc-group
IncI1;63;0;inc-group
IncI2;63;0;inc-group
IncL/M;63;0;inc-group
IncN;63;0;inc-group
IncN2;63;0;inc-group
IncN3;63;0;inc-group
IncP;63;0;inc-group
IncQ1;63;0;inc-group
IncQ2;63;0;inc-group
IncR;63;0;inc-group
IncU;63;0;inc-group
IncX3;63;0;inc-group
IncY;63;0;inc-group
Acinetobacter;63;0;organism
Aeromonas;63;0;organism
Citrobacter;63;0;organism
Enterobacter;63;0;organism
Escherichia;63;0;organism
Klebsiella;63;4;organism
Leclercia;63;0;organism
Morganella;63;0;organism
Pantoea;63;0;organism
Proteus;63;0;organism
Pseudomonas;63;0;organism
Raoultella;63;0;organism
Salmonella;63;0;organism
Serratia;63;0;organism
blaCMY;101;0;beta-lactamase
blaCTX-M;101;0;beta-lactamase
blaDHA;101;0;beta-lactamase
blaFOX;101;0;beta-lactamase
blaGES;101;0;beta-lactamase
blaIMP;101;0;beta-lactamase
blaLAP;101;0;beta-lactamase
blaOXA;101;1;beta-lactamase
blaPSE;101;0;beta-lactamase
blaSHV;101;0;beta-lactamase
blaTEM;101;1;beta-lactamase
blaVEB;101;0;beta-lactamase
parA/B/M;101;0;plasmid-stability
stbA/B/C;101;0;plasmid-stability
vagC/D;101;0;plasmid-stability
psiA/B;101;2;plasmid-stability
IncA/C;101;0;inc-group
IncA/C2;101;0;inc-group
IncFIA;101;3;inc-group
IncFIB;101;0;inc-group
IncFIC;101;0;inc-group
IncFII;101;0;inc-group
IncHI1A;101;0;inc-group
IncHI1B;101;0;inc-group
IncHI2;101;0;inc-group
IncI1;101;0;inc-group
IncI2;101;0;inc-group
IncL/M;101;0;inc-group
IncN;101;0;inc-group
IncN2;101;0;inc-group
IncN3;101;0;inc-group
IncP;101;0;inc-group
IncQ1;101;0;inc-group
IncQ2;101;0;inc-group
IncR;101;0;inc-group
IncU;101;0;inc-group
IncX3;101;0;inc-group
IncY;101;0;inc-group
Acinetobacter;101;0;organism
Aeromonas;101;0;organism
Citrobacter;101;0;organism
Enterobacter;101;0;organism
Escherichia;101;0;organism
Klebsiella;101;4;organism
Leclercia;101;0;organism
Morganella;101;0;organism
Pantoea;101;0;organism
Proteus;101;0;organism
Pseudomonas;101;0;organism
Raoultella;101;0;organism
Salmonella;101;0;organism
Serratia;101;0;organism
blaCMY;81;0;beta-lactamase
blaCTX-M;81;0;beta-lactamase
blaDHA;81;0;beta-lactamase
blaFOX;81;0;beta-lactamase
blaGES;81;0;beta-lactamase
blaIMP;81;0;beta-lactamase
blaLAP;81;0;beta-lactamase
blaOXA;81;1;beta-lactamase
blaPSE;81;0;beta-lactamase
blaSHV;81;0;beta-lactamase
blaTEM;81;1;beta-lactamase
blaVEB;81;0;beta-lactamase
parA/B/M;81;0;plasmid-stability
stbA/B/C;81;0;plasmid-stability
vagC/D;81;0;plasmid-stability
psiA/B;81;0;plasmid-stability
IncA/C;81;0;inc-group
IncA/C2;81;0;inc-group
IncFIA;81;0;inc-group
IncFIB;81;0;inc-group
IncFIC;81;0;inc-group
IncFII;81;0;inc-group
IncHI1A;81;0;inc-group
IncHI1B;81;0;inc-group
IncHI2;81;0;inc-group
IncI1;81;0;inc-group
IncI2;81;0;inc-group
IncL/M;81;0;inc-group
IncN;81;0;inc-group
IncN2;81;0;inc-group
IncN3;81;0;inc-group
IncP;81;0;inc-group
IncQ1;81;0;inc-group
IncQ2;81;0;inc-group
IncR;81;0;inc-group
IncU;81;0;inc-group
IncX3;81;0;inc-group
IncY;81;0;inc-group
Acinetobacter;81;0;organism
Aeromonas;81;0;organism
Citrobacter;81;0;organism
Enterobacter;81;4;organism
Escherichia;81;4;organism
Klebsiella;81;0;organism
Leclercia;81;0;organism
Morganella;81;0;organism
Pantoea;81;0;organism
Proteus;81;0;organism
